# =============================================================================
# MINISTEAM - Cache de Traduções
# Formato: idioma_destino | texto_origem || texto_traduzido
# Quebras de linha e pipes escapados como \n e \|
# =============================================================================
en | Lista de Desejos || Wish List
ko | Adicionar à Lista de Desejos || 위시리스트에 추가
en | Traduzido de || Translated from
en | Ver original || View original
en | Traduzir || Translate
en | Este usuário ainda não escreveu nada sobre si. || This user hasn't written anything about themselves yet.
en | Comprar saldo Steam para || Buy Steam balance for
zh-cn | Dados do perfil atualizados com sucesso! || 个人资料数据更新成功！
zh-cn | gosto de jogos e as vezes jogo. || 我喜欢游戏，有时也会玩。
zh-cn | RPG || 角色扮演游戏
zh-cn | Ação || 行动
zh-cn | Aventura || 冒险
zh-cn | Cooperativo || 合作社
zh-cn | Terror || 恐怖
zh-cn | Sobrevivência || 生存
zh-cn | Mundo Aberto || 开放世界
zh-cn | Corrida || 种族
zh-cn | Casual || 随意的
zh-cn | Arcade || 阿卡迪亚
zh-cn | Estratégia || 战略
zh-cn | Multijogador || 多人游戏
zh-cn | Tático || 战术上的
zh-cn | Aproveite os descontos em jogos selecionados || 享受精选游戏的折扣
zh-cn | Minha Biblioteca || 我的图书馆
zh-cn | Todos os seus amigos já fazem parte desta família! || 您所有的朋友都已经是这个家庭的一部分了！
zh-cn | Traduzido de || 翻译自
zh-cn | Ver original || 查看原文
zh-cn | Traduzir || 翻译
zh-cn | Este usuário ainda não escreveu nada sobre si. || 该用户还没有写过任何关于自己的信息。
zh-cn | Deixe um comentário no seu próprio mural... || 在您自己的墙上发表评论...
en | jogo(s) na sua lista de desejos. || game(s) on your wishlist.
en | Atmosférico || Atmospheric
en | Combate || Fight
en | Competitivo || Competitive
en | Crafting || Crafting
en | Difícil || Difficult
en | Engraçado || Funny
en | Estratégico || Strategic
en | Extremamente positivas || Extremely positive
en | Guerra || War
en | Japonês || Japanese
en | Jogo de combate de guerra com os amigos. Que vença a lombriguinha melhor! || War combat game with friends. May the best worm win!
en | Jogo de terror com zumbis. Sobreviva a noites aterrorizantes com recursos escassos. || Horror game with zombies. Survive terrifying nights with scarce resources.
en | Lombriguinha é um jogo de combate de guerra hilário e estratégico onde você comanda um exército de lombrigas armadas até os dentes. Enfrente seus amigos em batalhas táticas por turnos em cenários destrutíveis, use um arsenal absurdo de armas criativas e prove que a sua lombriguinha é a melhor do campo de batalha! || Lombriguinha is a hilarious and strategic war combat game where you command an army of worms armed to the teeth. Face your friends in turn-based tactical battles in destructible environments, use an absurd arsenal of creative weapons and prove that your little worm is the best on the battlefield!
en | Multijogador online || Online Multiplayer
en | Russo || Russian
en | SO: Windows 10 64-bit · CPU: Intel i3-7100 · RAM: 4 GB · GPU: GTX 750 · 10 GB || OS: Windows 10 64-bit · CPU: Intel i3-7100 · RAM: 4 GB · GPU: GTX 750 · 10 GB
en | SO: Windows 10 64-bit · CPU: Ryzen 3 1200 · RAM: 8 GB · GPU: GTX 1050 Ti · 50 GB || OS: Windows 10 64-bit · CPU: Ryzen 3 1200 · RAM: 8 GB · GPU: GTX 1050 Ti · 50 GB
en | SO: Windows 11 64-bit · CPU: Intel i5-9400 · RAM: 8 GB · GPU: GTX 1060 · 10 GB SSD || OS: Windows 11 64-bit · CPU: Intel i5-9400 · RAM: 8 GB · GPU: GTX 1060 · 10 GB SSD
en | SO: Windows 11 64-bit · CPU: Ryzen 5 5600 · RAM: 16 GB · GPU: RTX 3060 · 50 GB SSD || OS: Windows 11 64-bit · CPU: Ryzen 5 5600 · RAM: 16 GB · GPU: RTX 3060 · 50 GB SSD
en | Sobrevivência Sombria coloca você em uma cidade devastada por uma praga implacável. Gerencie recursos escassos, fabrique armas improvisadas e fortifique seu esconderijo antes que a noite chegue. Cada decisão importa: o som de um tiro pode atrair hordas inteiras. Sozinho ou com amigos, até onde você irá para ver o amanhecer? || Sobrevivência Sombria places you in a city ravaged by a relentless plague. Manage scarce resources, craft makeshift weapons, and fortify your hideout before night comes. Every decision matters: the sound of a shot can attract entire hordes. Alone or with friends, how far will you go to see the dawn?
en | Survival Horror || survival horror
en | Zumbis || Zombies
de | Atmosférico || Atmosphärisch
de | Colorido || Bunt
de | Combate || Kämpfen
de | Competitivo || Wettbewerbsfähig
de | Corrida Divertida é o party game definitivo para toda a família! Escolha entre dezenas de personagens carismáticos, dispute pistas malucas cheias de atalhos secretos e use power-ups hilários para virar a corrida no último segundo. Jogue em tela dividida com até quatro pessoas no mesmo sofá. || Corrida Divertida ist das ultimative Partyspiel für die ganze Familie! Wählen Sie aus Dutzenden charismatischer Charaktere, messen Sie sich auf malucas-Strecken voller geheimer Abkürzungen und nutzen Sie urkomische Power-Ups, um das Rennen in letzter Sekunde zu wenden. Spielen Sie im Splitscreen-Modus mit bis zu vier Personen auf derselben Couch.
de | Corridas para toda a família. Karts coloridos e pistas malucas! || Rennen für die ganze Familie. Bunte Karts und malucas Strecken!
de | Crafting || Basteln
de | Difícil || Schwierig
de | Engraçado || Lustig
de | Estratégico || Strategisch
de | Extremamente positivas || Äußerst positiv
de | Festa || Party
de | Fácil de Aprender || Leicht zu erlernen
de | Guerra || Krieg
de | Italiano || Italienisch
de | Japonês || japanisch
de | Jogo de combate de guerra com os amigos. Que vença a lombriguinha melhor! || Kriegskampfspiel mit Freunden. Möge der beste Wurm gewinnen!
de | Jogo de terror com zumbis. Sobreviva a noites aterrorizantes com recursos escassos. || Horrorspiel mit Zombies. Überlebe schreckliche Nächte mit knappen Ressourcen.
de | Karts || Karts
de | Lombriguinha é um jogo de combate de guerra hilário e estratégico onde você comanda um exército de lombrigas armadas até os dentes. Enfrente seus amigos em batalhas táticas por turnos em cenários destrutíveis, use um arsenal absurdo de armas criativas e prove que a sua lombriguinha é a melhor do campo de batalha! || Lombriguinha ist ein urkomisches und strategisches Kriegskampfspiel, in dem Sie eine bis an die Zähne bewaffnete Armee von Würmern befehligen. Treten Sie Ihren Freunden in rundenbasierten taktischen Schlachten in zerstörbaren Umgebungen gegenüber, nutzen Sie ein absurdes Arsenal an kreativen Waffen und beweisen Sie, dass Ihr kleiner Wurm der Beste auf dem Schlachtfeld ist!
de | Multijogador Local || Lokaler Mehrspielermodus
de | Multijogador local || Lokaler Mehrspielermodus
de | Multijogador online || Online-Multiplayer
de | Positivas || Positiv
de | Russo || Russisch
de | SO: Windows 10 64-bit · CPU: Intel i3-6100 · RAM: 4 GB · GPU: GTX 650 · 15 GB || Betriebssystem: Windows 10 64-Bit · CPU: Intel i3-6100 · RAM: 4 GB · GPU: GTX 650 · 15 GB
de | SO: Windows 10 64-bit · CPU: Intel i3-7100 · RAM: 4 GB · GPU: GTX 750 · 10 GB || Betriebssystem: Windows 10 64-Bit · CPU: Intel i3-7100 · RAM: 4 GB · GPU: GTX 750 · 10 GB
de | SO: Windows 10 64-bit · CPU: Intel i5-7400 · RAM: 8 GB · GPU: GTX 1050 · 15 GB SSD || Betriebssystem: Windows 10 64-Bit · CPU: Intel i5-7400 · RAM: 8 GB · GPU: GTX 1050 · ​​15 GB SSD
de | SO: Windows 10 64-bit · CPU: Ryzen 3 1200 · RAM: 8 GB · GPU: GTX 1050 Ti · 50 GB || Betriebssystem: Windows 10 64-Bit · CPU: Ryzen 3 1200 · RAM: 8 GB · GPU: GTX 1050 Ti · 50 GB
de | SO: Windows 11 64-bit · CPU: Intel i5-9400 · RAM: 8 GB · GPU: GTX 1060 · 10 GB SSD || Betriebssystem: Windows 11 64-Bit · CPU: Intel i5-9400 · RAM: 8 GB · GPU: GTX 1060 · 10 GB SSD
de | SO: Windows 11 64-bit · CPU: Ryzen 5 5600 · RAM: 16 GB · GPU: RTX 3060 · 50 GB SSD || Betriebssystem: Windows 11 64-Bit · CPU: Ryzen 5 5600 · RAM: 16 GB · GPU: RTX 3060 · 50 GB SSD
de | Sobrevivência Sombria coloca você em uma cidade devastada por uma praga implacável. Gerencie recursos escassos, fabrique armas improvisadas e fortifique seu esconderijo antes que a noite chegue. Cada decisão importa: o som de um tiro pode atrair hordas inteiras. Sozinho ou com amigos, até onde você irá para ver o amanhecer? || Sobrevivência Sombria versetzt Sie in eine Stadt, die von einer unerbittlichen Seuche heimgesucht wird. Verwalten Sie knappe Ressourcen, stellen Sie provisorische Waffen her und befestigen Sie Ihr Versteck, bevor die Nacht hereinbricht. Jede Entscheidung zählt: Der Klang eines Schusses kann ganze Horden anlocken. Allein oder mit Freunden, wie weit werden Sie gehen, um die Morgendämmerung zu sehen?
de | Suporte total a controle || Volle Kontrollunterstützung
de | Survival Horror || Survival-Horror
de | Tela dividida || Geteilter Bildschirm
de | Zumbis || Zombies
zh-cn | Atmosférico || 大气
zh-cn | Aventura Épica leva você a um vasto mundo de fantasia repleto de masmorras sombrias, chefes colossais e tesouros lendários. Forme um grupo com até quatro amigos, personalize seu herói com centenas de habilidades e enfrente uma campanha épica de mais de 60 horas. Cada masmorra é gerada com desafios únicos, garantindo que nenhuma jornada seja igual. || Aventura Épica 带您进入一个广阔的奇幻世界，里面充满了黑暗的地牢、巨大的头目和传奇的宝藏。与最多四名朋友组成队伍，用数百种技能定制你的英雄，并面对持续超过 60 小时的史诗般的战役。每个地下城都有独特的挑战，确保没有两次旅程是相同的。
zh-cn | Colorido || 丰富多彩的
zh-cn | Combate || 斗争
zh-cn | Competitivo || 竞争的
zh-cn | Conquistas Steam || Steam 成就
zh-cn | Cooperativo online || 线上合作
zh-cn | Corrida Divertida é o party game definitivo para toda a família! Escolha entre dezenas de personagens carismáticos, dispute pistas malucas cheias de atalhos secretos e use power-ups hilários para virar a corrida no último segundo. Jogue em tela dividida com até quatro pessoas no mesmo sofá. || Corrida Divertida 是适合全家人的终极派对游戏！从数十个魅力十足的角色中进行选择，在充满秘密捷径的malucas赛道上竞争，并使用搞笑的能量提升在最后一秒扭转比赛。最多可与四人在同一张沙发上进行分屏游戏。
zh-cn | Corridas para toda a família. Karts coloridos e pistas malucas! || 适合全家参加的比赛。色彩缤纷的卡丁车和malucas赛道！
zh-cn | Crafting || 制作
zh-cn | Difícil || 难的
zh-cn | Engraçado || 有趣的
zh-cn | Espanhol || 西班牙语
zh-cn | Estratégico || 战略
zh-cn | Explore masmorras e derrote monstros com amigos nesta jornada incrível. || 在这段不可思议的旅程中，与朋友一起探索地下城并击败怪物。
zh-cn | Extremamente positivas || 极其积极
zh-cn | Fantasia || 幻想
zh-cn | Festa || 派对
zh-cn | Francês || 法语
zh-cn | Guerra || 战争
zh-cn | História Rica || 丰富的历史
zh-cn | Italiano || 意大利语
zh-cn | Japonês || 日本人
zh-cn | Jogo de combate de guerra com os amigos. Que vença a lombriguinha melhor! || 与朋友一起进行战争格斗游戏。祝最好的蠕虫获胜！
zh-cn | Jogo de terror com zumbis. Sobreviva a noites aterrorizantes com recursos escassos. || 与僵尸的恐怖游戏。用稀缺的资源度过可怕的夜晚。
zh-cn | Karts || 卡丁车
zh-cn | Lombriguinha é um jogo de combate de guerra hilário e estratégico onde você comanda um exército de lombrigas armadas até os dentes. Enfrente seus amigos em batalhas táticas por turnos em cenários destrutíveis, use um arsenal absurdo de armas criativas e prove que a sua lombriguinha é a melhor do campo de batalha! || Lombriguinha 是一款搞笑的战略战争游戏，您可以指挥一支武装到牙齿的蠕虫大军。在可破坏的环境中，在回合制战术战斗中面对你的朋友，使用荒谬的创意武器库，并证明你的小蠕虫是战场上最好的！
zh-cn | Masmorras || 地下城
zh-cn | Muito positivas || 非常积极
zh-cn | Multijogador Local || 本地多人游戏
zh-cn | Multijogador local || 本地多人游戏
zh-cn | Multijogador online || 在线多人游戏
zh-cn | Nuvem Steam || 蒸汽云
zh-cn | Português || 葡萄牙语
zh-cn | Positivas || 积极的
zh-cn | Russo || 俄语
zh-cn | SO: Windows 10 64-bit · CPU: Intel i3-6100 · RAM: 4 GB · GPU: GTX 650 · 15 GB || 操作系统：Windows 10 64 位 · CPU：Intel i3-6100 · RAM：4 GB · GPU：GTX 650 · 15 GB
zh-cn | SO: Windows 10 64-bit · CPU: Intel i3-7100 · RAM: 4 GB · GPU: GTX 750 · 10 GB || 操作系统：Windows 10 64 位 · CPU：Intel i3-7100 · RAM：4 GB · GPU：GTX 750 · 10 GB
zh-cn | SO: Windows 10 64-bit · CPU: Intel i5-4460 · RAM: 8 GB · GPU: GTX 760 · 40 GB || 操作系统：Windows 10 64 位 · CPU：Intel i5-4460 · RAM：8 GB · GPU：GTX 760 · 40 GB
zh-cn | SO: Windows 10 64-bit · CPU: Intel i5-7400 · RAM: 8 GB · GPU: GTX 1050 · 15 GB SSD || 操作系统：Windows 10 64位·CPU：Intel i5-7400·RAM：8 GB·GPU：GTX 1050·15 GB SSD
zh-cn | SO: Windows 10 64-bit · CPU: Ryzen 3 1200 · RAM: 8 GB · GPU: GTX 1050 Ti · 50 GB || 操作系统：Windows 10 64 位 · CPU：Ryzen 3 1200 · RAM：8 GB · GPU：GTX 1050 Ti · 50 GB
zh-cn | SO: Windows 11 64-bit · CPU: Intel i5-9400 · RAM: 8 GB · GPU: GTX 1060 · 10 GB SSD || 操作系统：Windows 11 64 位 · CPU：Intel i5-9400 · RAM：8 GB · GPU：GTX 1060 · 10 GB SSD
zh-cn | SO: Windows 11 64-bit · CPU: Intel i7-9700 · RAM: 16 GB · GPU: RTX 2060 · 40 GB SSD || 操作系统：Windows 11 64 位 · CPU：Intel i7-9700 · RAM：16 GB · GPU：RTX 2060 · 40 GB SSD
zh-cn | SO: Windows 11 64-bit · CPU: Ryzen 5 5600 · RAM: 16 GB · GPU: RTX 3060 · 50 GB SSD || 操作系统：Windows 11 64 位 · CPU：Ryzen 5 5600 · RAM：16 GB · GPU：RTX 3060 · 50 GB SSD
zh-cn | Sobrevivência Sombria coloca você em uma cidade devastada por uma praga implacável. Gerencie recursos escassos, fabrique armas improvisadas e fortifique seu esconderijo antes que a noite chegue. Cada decisão importa: o som de um tiro pode atrair hordas inteiras. Sozinho ou com amigos, até onde você irá para ver o amanhecer? || Sobrevivência Sombria 将您置于一座被无情瘟疫蹂躏的城市中。管理稀缺资源，制作临时武器，并在夜幕降临之前加固你的藏身处。每个决定都很重要：枪声可以吸引整个部落。独自一人或与朋友一起，你会走多远才能看到黎明？
zh-cn | Suporte a controle || 控制支持
zh-cn | Suporte total a controle || 完全控制支持
zh-cn | Survival Horror || 生存恐怖
zh-cn | Tela dividida || 分屏
zh-cn | Um jogador || 一名玩家
zh-cn | Zumbis || 僵尸
pl | Arcade || Arkadyjski
pl | Atmosférico || Atmosferyczny
pl | Aventura || Przygoda
pl | Aventura Épica leva você a um vasto mundo de fantasia repleto de masmorras sombrias, chefes colossais e tesouros lendários. Forme um grupo com até quatro amigos, personalize seu herói com centenas de habilidades e enfrente uma campanha épica de mais de 60 horas. Cada masmorra é gerada com desafios únicos, garantindo que nenhuma jornada seja igual. || Aventura Épica przenosi Cię do rozległego świata fantasy, pełnego mrocznych lochów, kolosalnych bossów i legendarnych skarbów. Stwórz drużynę z maksymalnie czterema przyjaciółmi, dostosuj swojego bohatera za pomocą setek umiejętności i zmierz się z epicką kampanią trwającą ponad 60 godzin. Każdy loch jest generowany z unikalnymi wyzwaniami, dzięki czemu nie ma dwóch takich samych podróży.
pl | Ação || Działanie
pl | Casual || Zwykły
pl | Colorido || Kolorowy
pl | Combate || Walka
pl | Competitivo || Konkurencyjny
pl | Conquistas Steam || Osiągnięcia Steama
pl | Cooperativo || Spółdzielnia
pl | Cooperativo online || Spółdzielnia internetowa
pl | Corrida || Wyścig
pl | Corrida Divertida é o party game definitivo para toda a família! Escolha entre dezenas de personagens carismáticos, dispute pistas malucas cheias de atalhos secretos e use power-ups hilários para virar a corrida no último segundo. Jogue em tela dividida com até quatro pessoas no mesmo sofá. || Corrida Divertida to najlepsza gra towarzyska dla całej rodziny! Wybieraj spośród kilkudziesięciu charyzmatycznych postaci, rywalizuj na malucas torach pełnych tajnych skrótów i korzystaj z zabawnych ulepszeń, aby w ostatniej sekundzie odwrócić losy wyścigu. Graj na podzielonym ekranie z maksymalnie czterema osobami na tej samej kanapie.
pl | Corridas para toda a família. Karts coloridos e pistas malucas! || Wyścigi dla całej rodziny. Kolorowe gokarty i malucas tory!
pl | Crafting || Rzemiosło
pl | Difícil || Trudny
pl | Engraçado || Śmieszny
pl | Espanhol || hiszpański
pl | Estratégia || Strategia
pl | Estratégico || Strategiczny
pl | Explore masmorras e derrote monstros com amigos nesta jornada incrível. || Eksploruj lochy i pokonuj potwory z przyjaciółmi w tej niesamowitej podróży.
pl | Extremamente positivas || Niezwykle pozytywne
pl | Fantasia || Kaprys
pl | Festa || Impreza
pl | Francês || francuski
pl | Fácil de Aprender || Łatwy do nauczenia
pl | Guerra || Wojna
pl | História Rica || Bogata historia
pl | Italiano || włoski
pl | Japonês || japoński
pl | Jogo de combate de guerra com os amigos. Que vença a lombriguinha melhor! || Gra wojenna z przyjaciółmi. Niech wygra najlepszy robak!
pl | Jogo de terror com zumbis. Sobreviva a noites aterrorizantes com recursos escassos. || Gra grozy z zombie. Przetrwaj przerażające noce, korzystając z ograniczonych zasobów.
pl | Karts || Gokarty
pl | Lombriguinha é um jogo de combate de guerra hilário e estratégico onde você comanda um exército de lombrigas armadas até os dentes. Enfrente seus amigos em batalhas táticas por turnos em cenários destrutíveis, use um arsenal absurdo de armas criativas e prove que a sua lombriguinha é a melhor do campo de batalha! || Lombriguinha to zabawna i strategiczna gra wojenna, w której dowodzisz armią robaków uzbrojonych po zęby. Zmierz się ze znajomymi w turowych bitwach taktycznych w zniszczalnych środowiskach, użyj absurdalnego arsenału kreatywnej broni i udowodnij, że Twój mały robak jest najlepszy na polu bitwy!
pl | Masmorras || Lochy
pl | Muito positivas || Bardzo pozytywne
pl | Multijogador || Tryb wieloosobowy
pl | Multijogador Local || Lokalny tryb wieloosobowy
pl | Multijogador local || Lokalny tryb wieloosobowy
pl | Multijogador online || Internetowy tryb wieloosobowy
pl | Mundo Aberto || Otwarty świat
pl | Nuvem Steam || Chmura parowa
pl | Português || portugalski
pl | Positivas || Pozytywny
pl | RPG || RPG
pl | Russo || rosyjski
pl | SO: Windows 10 64-bit · CPU: Intel i3-6100 · RAM: 4 GB · GPU: GTX 650 · 15 GB || System operacyjny: Windows 10 64-bit · Procesor: Intel i3-6100 · RAM: 4 GB · Karta graficzna: GTX 650 · 15 GB
pl | SO: Windows 10 64-bit · CPU: Intel i3-7100 · RAM: 4 GB · GPU: GTX 750 · 10 GB || System operacyjny: Windows 10 64-bit · Procesor: Intel i3-7100 · RAM: 4 GB · Karta graficzna: GTX 750 · 10 GB
pl | SO: Windows 10 64-bit · CPU: Intel i5-4460 · RAM: 8 GB · GPU: GTX 760 · 40 GB || System operacyjny: Windows 10 64-bit · Procesor: Intel i5-4460 · RAM: 8 GB · Karta graficzna: GTX 760 · 40 GB
pl | SO: Windows 10 64-bit · CPU: Intel i5-7400 · RAM: 8 GB · GPU: GTX 1050 · 15 GB SSD || System operacyjny: Windows 10 64-bit · Procesor: Intel i5-7400 · RAM: 8 GB · Karta graficzna: GTX 1050 · ​​​​15 GB SSD
pl | SO: Windows 10 64-bit · CPU: Ryzen 3 1200 · RAM: 8 GB · GPU: GTX 1050 Ti · 50 GB || System operacyjny: Windows 10 64-bit · Procesor: Ryzen 3 1200 · RAM: 8 GB · Karta graficzna: GTX 1050 Ti · 50 GB
pl | SO: Windows 11 64-bit · CPU: Intel i5-9400 · RAM: 8 GB · GPU: GTX 1060 · 10 GB SSD || System operacyjny: Windows 11 64-bit · Procesor: Intel i5-9400 · RAM: 8 GB · Karta graficzna: GTX 1060 · 10 GB SSD
pl | SO: Windows 11 64-bit · CPU: Intel i7-9700 · RAM: 16 GB · GPU: RTX 2060 · 40 GB SSD || System operacyjny: Windows 11 64-bit · Procesor: Intel i7-9700 · RAM: 16 GB · Karta graficzna: RTX 2060 · 40 GB SSD
pl | SO: Windows 11 64-bit · CPU: Ryzen 5 5600 · RAM: 16 GB · GPU: RTX 3060 · 50 GB SSD || System operacyjny: Windows 11 64-bit · Procesor: Ryzen 5 5600 · RAM: 16 GB · Karta graficzna: RTX 3060 · 50 GB SSD
pl | Sobrevivência || Przetrwanie
pl | Sobrevivência Sombria coloca você em uma cidade devastada por uma praga implacável. Gerencie recursos escassos, fabrique armas improvisadas e fortifique seu esconderijo antes que a noite chegue. Cada decisão importa: o som de um tiro pode atrair hordas inteiras. Sozinho ou com amigos, até onde você irá para ver o amanhecer? || Sobrevivência Sombria przenosi Cię do miasta spustoszonego przez nieubłaganą zarazę. Zarządzaj ograniczonymi zasobami, twórz prowizoryczną broń i wzmacniaj swoją kryjówkę, zanim nadejdzie noc. Każda decyzja ma znaczenie: dźwięk wystrzału może przyciągnąć całe hordy. Samotnie czy z przyjaciółmi, jak daleko się posuniesz, aby zobaczyć świt?
pl | Suporte a controle || Wsparcie kontroli
pl | Suporte total a controle || Pełne wsparcie kontroli
pl | Survival Horror || horror przetrwania
pl | Tela dividida || Podzielony ekran
pl | Terror || Terror
pl | Tático || Taktyczny
pl | Um jogador || Jeden gracz
pl | Zumbis || Zombie
ko | Arcade || 아르카디아 사람
ko | Atmosférico || 대기
ko | Aventura || 모험
ko | Aventura Épica leva você a um vasto mundo de fantasia repleto de masmorras sombrias, chefes colossais e tesouros lendários. Forme um grupo com até quatro amigos, personalize seu herói com centenas de habilidades e enfrente uma campanha épica de mais de 60 horas. Cada masmorra é gerada com desafios únicos, garantindo que nenhuma jornada seja igual. || Aventura Épica는 어두운 던전, 거대한 보스, 전설적인 보물로 가득한 광활한 판타지 세계로 여러분을 안내합니다. 최대 4명의 친구와 함께 파티를 구성하고, 수백 가지 기술로 영웅을 맞춤화하고, 60시간 이상 지속되는 장대한 캠페인에 맞서세요. 각 던전은 고유한 도전 과제로 생성되므로 두 가지 여정이 동일하지 않습니다.
ko | Ação || 행동
ko | Casual || 평상복
ko | Colorido || 화려한
ko | Combate || 싸움
ko | Competitivo || 경쟁력 있는
ko | Conquistas Steam || 스팀 업적
ko | Cooperativo || 협동조합
ko | Cooperativo online || 온라인 협동조합
ko | Corrida || 경주
ko | Corrida Divertida é o party game definitivo para toda a família! Escolha entre dezenas de personagens carismáticos, dispute pistas malucas cheias de atalhos secretos e use power-ups hilários para virar a corrida no último segundo. Jogue em tela dividida com até quatro pessoas no mesmo sofá. || Corrida Divertida은 온 가족을 위한 최고의 파티 게임입니다! 수십 명의 카리스마 넘치는 캐릭터 중에서 선택하고, 비밀 지름길로 가득한 malucas 트랙에서 경쟁하고, 재미있는 파워업을 사용하여 마지막 순간에 경주를 반전시키세요. 같은 소파에 최대 4명이 함께 분할 화면을 플레이할 수 있습니다.
ko | Corridas para toda a família. Karts coloridos e pistas malucas! || 온 가족을 위한 경주. 다채로운 카트와 malucas 트랙!
ko | Crafting || 제작
ko | Difícil || 어려운
ko | Engraçado || 재미있는
ko | Espanhol || 스페인 사람
ko | Estratégia || 전략
ko | Estratégico || 전략적
ko | Explore masmorras e derrote monstros com amigos nesta jornada incrível. || 이 놀라운 여정에서 친구들과 함께 던전을 탐험하고 몬스터를 물리치세요.
ko | Extremamente positivas || 매우 긍정적
ko | Fantasia || 공상
ko | Festa || 파티
ko | Francês || 프랑스 국민
ko | Fácil de Aprender || 배우기 쉽다
ko | Guerra || 전쟁
ko | História Rica || 풍부한 역사
ko | Italiano || 이탈리아 사람
ko | Japonês || 일본어
ko | Jogo de combate de guerra com os amigos. Que vença a lombriguinha melhor! || 친구들과 함께하는 전쟁 전투 게임. 최고의 벌레가 승리하길 바랍니다!
ko | Jogo de terror com zumbis. Sobreviva a noites aterrorizantes com recursos escassos. || 좀비를 이용한 공포 게임. 부족한 자원으로 무서운 밤을 견뎌내세요.
ko | Karts || 카트
ko | Lombriguinha é um jogo de combate de guerra hilário e estratégico onde você comanda um exército de lombrigas armadas até os dentes. Enfrente seus amigos em batalhas táticas por turnos em cenários destrutíveis, use um arsenal absurdo de armas criativas e prove que a sua lombriguinha é a melhor do campo de batalha! || Lombriguinha은 완전 무장한 벌레 군대를 지휘하는 재미있고 전략적인 전쟁 전투 게임입니다. 파괴 가능한 환경에서 턴제 전술 전투에서 친구들과 대결하고, 터무니없는 창의적인 무기를 사용하고, 당신의 작은 벌레가 전장에서 최고임을 증명하세요!
ko | Masmorras || 던전
ko | Muito positivas || 매우 긍정적
ko | Multijogador || 멀티플레이어
ko | Multijogador Local || 로컬 멀티플레이어
ko | Multijogador local || 로컬 멀티플레이어
ko | Multijogador online || 온라인 멀티플레이어
ko | Mundo Aberto || 오픈 월드
ko | Nuvem Steam || 스팀 클라우드
ko | Português || 포르투갈 인
ko | Positivas || 긍정적인
ko | RPG || 롤플레잉
ko | Russo || 러시아인
ko | SO: Windows 10 64-bit · CPU: Intel i3-6100 · RAM: 4 GB · GPU: GTX 650 · 15 GB || OS: Windows 10 64비트 · CPU: Intel i3-6100 · RAM: 4GB · GPU: GTX 650 · 15GB
ko | SO: Windows 10 64-bit · CPU: Intel i3-7100 · RAM: 4 GB · GPU: GTX 750 · 10 GB || OS: Windows 10 64비트 · CPU: Intel i3-7100 · RAM: 4GB · GPU: GTX 750 · 10GB
ko | SO: Windows 10 64-bit · CPU: Intel i5-4460 · RAM: 8 GB · GPU: GTX 760 · 40 GB || OS: Windows 10 64비트 · CPU: Intel i5-4460 · RAM: 8GB · GPU: GTX 760 · 40GB
ko | SO: Windows 10 64-bit · CPU: Intel i5-7400 · RAM: 8 GB · GPU: GTX 1050 · 15 GB SSD || OS: Windows 10 64-bit · CPU: Intel i5-7400 · RAM: 8GB · GPU: GTX 1050 · ​​​​15GB SSD
ko | SO: Windows 10 64-bit · CPU: Ryzen 3 1200 · RAM: 8 GB · GPU: GTX 1050 Ti · 50 GB || OS: Windows 10 64비트 · CPU: Ryzen 3 1200 · RAM: 8GB · GPU: GTX 1050 Ti · 50GB
ko | SO: Windows 11 64-bit · CPU: Intel i5-9400 · RAM: 8 GB · GPU: GTX 1060 · 10 GB SSD || OS: Windows 11 64비트 · CPU: Intel i5-9400 · RAM: 8GB · GPU: GTX 1060 · 10GB SSD
ko | SO: Windows 11 64-bit · CPU: Intel i7-9700 · RAM: 16 GB · GPU: RTX 2060 · 40 GB SSD || OS: Windows 11 64비트 · CPU: Intel i7-9700 · RAM: 16GB · GPU: RTX 2060 · 40GB SSD
ko | SO: Windows 11 64-bit · CPU: Ryzen 5 5600 · RAM: 16 GB · GPU: RTX 3060 · 50 GB SSD || OS: Windows 11 64비트 · CPU: Ryzen 5 5600 · RAM: 16GB · GPU: RTX 3060 · 50GB SSD
ko | Sobrevivência || 활착
ko | Sobrevivência Sombria coloca você em uma cidade devastada por uma praga implacável. Gerencie recursos escassos, fabrique armas improvisadas e fortifique seu esconderijo antes que a noite chegue. Cada decisão importa: o som de um tiro pode atrair hordas inteiras. Sozinho ou com amigos, até onde você irá para ver o amanhecer? || Sobrevivência Sombria은 당신을 끊임없는 전염병으로 황폐화된 도시에 배치합니다. 부족한 자원을 관리하고, 임시 무기를 제작하고, 밤이 오기 전에 은신처를 강화하세요. 모든 결정이 중요합니다. 총소리는 전체 무리를 끌어들일 수 있습니다. 혼자 또는 친구들과 함께 새벽을 보러 어디까지 갈 것인가?
ko | Suporte a controle || 제어 지원
ko | Suporte total a controle || 전체 제어 지원
ko | Survival Horror || 생존 공포
ko | Tela dividida || 분할 화면
ko | Terror || 공포
ko | Tático || 전술적
ko | Um jogador || 한 명의 플레이어
ko | Zumbis || 좀비
ko | Dados do perfil atualizados com sucesso! || 프로필 데이터가 성공적으로 업데이트되었습니다!
ko | Traduzir || 번역하다
de | Dados do perfil atualizados com sucesso! || Profildaten erfolgreich aktualisiert!
de | Traduzir || Übersetzen
pl | Dados do perfil atualizados com sucesso! || Dane profilu zostały pomyślnie zaktualizowane!
